Año;Tipo.UI;Cuadrante;Partida.Institucional;Institución;Programa.pptario;Clasificador;Partida.de.gastos;Programa/.Instrumento/.Concurso;Nombre.de.la.Iniciativa;Código;OSE.(NABS).Categoría;OSE.(NABS).Subcategoría;SE;Región;EG;ECC;MF;GBARD.M$.corriente;GBARD
01-01-2023;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;CAMA DE ESTABULACIÓN EN BASE A GEOMEMBRANA DE FILM DE BOLOS RECICLADO CON PROPIEDADES ANTIMICROBIANAS;PI-2985;8. Agricultura;;Empresas;Los Lagos;sin EG;sin ECC;Asignación directa;431,486867;431,486867
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;IMPLEMENTACIÓN DE UN SISTEMA DE CONDUCCIÓN ALTERNATIVO PARA UVA DE MESA QUE PERMITA PRODUCIR FRUTA DE BUENA CALIDAD Y CONDICIÓN A UN MENOR COSTO PRODUCTIVO, MEJORANDO LA COMPETITIVIDAD DE LA EMPRESA EN EL SECTOR;PI-3015;6. Producción y tecnología industrial;;Empresas;Metropolitana de Stgo.;sin EG;con ECC;Asignación directa;22600,61199;23482,03586
01-01-2023;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;IMPLEMENTACIÓN DE UN SISTEMA DE CONDUCCIÓN ALTERNATIVO PARA UVA DE MESA QUE PERMITA PRODUCIR FRUTA DE BUENA CALIDAD Y CONDICIÓN A UN MENOR COSTO PRODUCTIVO, MEJORANDO LA COMPETITIVIDAD DE LA EMPRESA EN EL SECTOR;PI-3015;6. Producción y tecnología industrial;;Empresas;Metropolitana de Stgo.;sin EG;con ECC;Asignación directa;1412,810245;1412,810245
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;DESARROLLO DE UN MODELO DE PLANIFICACIÓN, ASIGNACIÓN Y SEGUIMIENTO DE VIAJES QUE PERMITA REALIZAR EL SEGUIMIENTO DE CADA ORDEN DE SERVICIO DE PRINCIPIO A FIN MEDIANTE EL USO DE TÉCNICAS ESTADÍSTICAS, MODELOS HOLÍSTICOS, ALGORITMOS PROPIOS E INTEGRACIÓN DE SISTEMAS.;PI-3065;6. Producción y tecnología industrial;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;19612,42605;20377,31066
01-01-2023;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;DESARROLLO DE UN MODELO DE PLANIFICACIÓN, ASIGNACIÓN Y SEGUIMIENTO DE VIAJES QUE PERMITA REALIZAR EL SEGUIMIENTO DE CADA ORDEN DE SERVICIO DE PRINCIPIO A FIN MEDIANTE EL USO DE TÉCNICAS ESTADÍSTICAS, MODELOS HOLÍSTICOS, ALGORITMOS PROPIOS E INTEGRACIÓN DE SISTEMAS.;PI-3065;6. Producción y tecnología industrial;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;35970,52918;35970,52918
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Nuevas alternativas de tratamiento contra Caligus conefecto larga acción para peces.;PI-3100;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;16575,27532;17221,71106
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;BIOSINTELLIGENCE;PI-3103;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;446941,0612;464371,7626
01-01-2023;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;BIOSINTELLIGENCE;PI-3103;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;523169,9998;523169,9998
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;FULLDRILL: ESTACIÓN MÓVIL CENTRALIZADA DE PERFORACIÓN PARA MINERÍA SUBTERRÁNEA;PI-3115;1. Exploración y explotación de la Tierra;;Empresas;Metropolitana de Stgo.;sin EG;con ECC;Asignación directa;2618,492261;2720,613459
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Implementación de un sistema de conducción alternativo para uva de mesa que permita producir fruta de buena calidad y condición a un menor costo productivo, mejorando la competitividad de la empresa en el sector.;PI-3119;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;12113,57386;12586,00324
